title,usd,content
Mochila 45L Andes,189.00,"Mochila de travesía con respaldo ventilado. Precio base en USD."
Carpa 2 personas,249.00,"Carpa tres estaciones, doble techo."
Saco -5 °C,169.00,"Pluma 650 fill, cremallera lateral."
Bastones carbono,79.00,"Par plegable, empuñadura de corcho."
Filtro de agua,54.00,"0.1 micras, 1 litro por minuto."
Linterna frontal 400lm,39.00,"USB-C, IPX6."
Cocinilla titanio,64.00,"65 g, compatible con cartucho rosca."
Botella 1L,28.00,"Acero, tapa térmica."
Poncho lluvia,35.00,"Ripstop, se guarda en su bolsa."
Kit reparación,18.00,"Parches, hilo y cinta tenaz."
